order_id;order_date;client_id;phone;email;brand;channel;items_count;gross_revenue;discount_amount;net_revenue;cogs;delivery_cost;acquisition_cost;order_status
ORD-0001248;2025-01-15;CUST_00540;+79994367636;user_540_957@example.com;UrbanStyle;online_app;4;22568.41;2256.84;20311.57;8530.86;250.0;1473.46;completed
ORD-0001623;2025-01-15;CUST_00707;+79997420191;user_707_748@example.com;SportActive;online_site;1;8502.66;850.27;7652.39;3673.15;350.0;1733.6;completed
ORD-0002591;2025-01-15;CUST_01116;+79998566133;user_1116_354@example.com;UrbanStyle;online_site;1;5112.54;511.25;4601.29;1932.54;350.0;1764.34;completed
ORD-0000449;2025-01-16;CUST_00194;;user_194_485@example.com;UrbanStyle;online_app;4;28403.3;2840.33;25562.97;10736.45;250.0;1520.97;completed
ORD-0001872;2025-01-16;CUST_00815;+79994784649;user_815_255@example.com;UrbanStyle;online_app;1;7632.86;1144.93;6487.93;2724.93;250.0;1425.82;returned
ORD-0002726;2025-01-16;CUST_01182;+79999679670;user_1182_171@example.com;UrbanStyle;online_site;3;21445.13;0.0;21445.13;9006.95;350.0;1725.93;completed
ORD-0003002;2025-01-16;CUST_01298;+79993153282;user_1298_412@example.com;SportActive;online_app;1;8536.83;1707.37;6829.46;3278.14;250.0;1758.35;completed
ORD-0002771;2025-01-17;CUST_01202;+79997196363;user_1202_221@example.com;SportActive;online_site;3;29353.52;2935.35;26418.17;12680.72;350.0;1062.75;completed
ORD-0003195;2025-01-17;CUST_01383;;user_1383_408@example.com;SportActive;offline_pos;4;29457.13;0.0;29457.13;14139.42;0.0;1258.14;completed
ORD-0001158;2025-01-18;CUST_00511;+79992756994;user_511_175@example.com;UrbanStyle;online_site;3;16403.6;3280.72;13122.88;5511.61;350.0;1501.73;completed
ORD-0002534;2025-01-18;CUST_01097;+79991917249;;SportActive;offline_pos;4;28131.28;1406.56;26724.72;12827.87;0.0;1557.14;completed
ORD-0002882;2025-01-18;CUST_01254;;user_1254_901@example.com;UrbanStyle;online_app;2;11893.47;1189.35;10704.12;4495.73;250.0;1204.66;completed
ORD-0001035;2025-01-19;CUST_00462;+79998035849;user_462_329@example.com;UrbanStyle;online_site;3;20008.97;4001.79;16007.18;6723.02;350.0;1038.85;completed
ORD-0001937;2025-01-19;CUST_00846;+79993257160;;UrbanStyle;offline_pos;2;13059.03;1958.85;11100.18;4662.08;0.0;1377.76;completed
ORD-0001942;2025-01-19;CUST_00849;;user_849_477@example.com;SportActive;online_site;3;22295.44;4459.09;17836.35;8561.45;350.0;1540.17;completed
ORD-0000725;2025-01-20;CUST_00311;+79993949245;;SportActive;online_app;4;36872.07;7374.41;29497.66;14158.88;250.0;1627.26;completed
ORD-0001315;2025-01-20;CUST_00567;+79991236174;;SportActive;offline_pos;2;12716.26;635.81;12080.45;5798.62;0.0;1746.0;completed
ORD-0001913;2025-01-20;CUST_00831;+79991711620;user_831_998@example.com;SportActive;online_app;3;22712.45;4542.49;18169.96;8721.58;250.0;1626.06;returned
ORD-0002982;2025-01-20;CUST_01291;+79996523752;;UrbanStyle;offline_pos;4;26728.26;2672.83;24055.43;10103.28;0.0;1322.81;completed
ORD-0000491;2025-01-21;CUST_00216;+79998372274;user_216_636@example.com;SportActive;online_app;3;28415.63;4262.34;24153.29;11593.58;250.0;1395.11;completed
ORD-0001001;2025-01-21;CUST_00449;+79997676912;user_449_618@example.com;UrbanStyle;online_app;3;23534.52;4706.9;18827.62;7907.6;250.0;1525.88;completed
ORD-0001451;2025-01-21;CUST_00627;;user_627_264@example.com;UrbanStyle;online_site;3;19947.21;3989.44;15957.77;6702.26;350.0;942.34;completed
ORD-0003427;2025-01-21;CUST_01488;;user_1488_236@example.com;UrbanStyle;online_site;3;17941.09;897.05;17044.04;7158.5;350.0;923.01;completed
ORD-0000486;2025-01-22;CUST_00214;+79994158134;user_214_429@example.com;SportActive;online_app;2;19924.68;3984.94;15939.74;7651.08;250.0;1444.57;completed
ORD-0000589;2025-01-22;CUST_00254;+79998297090;user_254_381@example.com;UrbanStyle;online_site;3;15374.7;3074.94;12299.76;5165.9;350.0;1096.82;completed
ORD-0001489;2025-01-22;CUST_00648;;user_648_650@example.com;UrbanStyle;online_site;4;20109.22;3016.38;17092.84;7178.99;350.0;903.1;completed
ORD-0002190;2025-01-22;CUST_00948;+79999776491;;UrbanStyle;online_site;2;13449.38;672.47;12776.91;5366.3;350.0;1465.45;completed
ORD-0002505;2025-01-22;CUST_01088;+79991334013;user_1088_156@example.com;SportActive;online_app;1;9495.5;1424.33;8071.17;3874.16;250.0;1360.56;returned
ORD-0003403;2025-01-22;CUST_01477;;user_1477_297@example.com;SportActive;online_app;1;9443.68;472.18;8971.5;4306.32;250.0;1367.19;completed
ORD-0000110;2025-01-23;CUST_00051;;user_51_752@example.com;SportActive;online_site;3;28963.87;5792.77;23171.1;11122.13;350.0;1498.79;completed
ORD-0000563;2025-01-23;CUST_00243;+79995255545;user_243_865@example.com;UrbanStyle;online_app;1;6703.7;1340.74;5362.96;2252.44;250.0;1780.81;completed
ORD-0002234;2025-01-23;CUST_00965;;user_965_314@example.com;UrbanStyle;online_site;1;5841.61;1168.32;4673.29;1962.78;350.0;1196.77;cancelled
ORD-0002939;2025-01-23;CUST_01272;+79995766421;;UrbanStyle;online_app;3;21913.14;2191.31;19721.83;8283.17;250.0;1380.34;completed
ORD-0000334;2025-01-24;CUST_00146;+79997014016;;UrbanStyle;online_app;1;6711.99;1006.8;5705.19;2396.18;250.0;1449.03;completed
ORD-0001407;2025-01-24;CUST_00608;+79993067274;;UrbanStyle;offline_pos;3;17419.16;870.96;16548.2;6950.24;0.0;1193.46;completed
ORD-0001958;2025-01-24;CUST_00857;+79994562439;user_857_111@example.com;SportActive;online_app;3;27720.25;5544.05;22176.2;10644.58;250.0;1050.65;completed
ORD-0000025;2025-01-25;CUST_00016;+79993684052;;SportActive;online_site;3;27479.37;4121.91;23357.46;11211.58;350.0;1350.19;completed
ORD-0000966;2025-01-25;CUST_00431;;user_431_956@example.com;UrbanStyle;online_site;2;15494.94;3098.99;12395.95;5206.3;350.0;1206.42;returned
ORD-0001679;2025-01-25;CUST_00725;+79992007243;user_725_320@example.com;SportActive;online_site;2;14009.71;2101.46;11908.25;5715.96;350.0;1010.79;completed
ORD-0000062;2025-01-26;CUST_00035;+79991247595;user_35_195@example.com;UrbanStyle;online_site;1;5270.6;527.06;4743.54;1992.29;350.0;1135.8;completed
ORD-0000403;2025-01-26;CUST_00172;+79993112652;;SportActive;online_app;4;37468.56;5620.28;31848.28;15287.17;250.0;1526.77;completed
ORD-0000454;2025-01-26;CUST_00196;+79998113787;user_196_597@example.com;SportActive;online_app;3;25739.86;3860.98;21878.88;10501.86;250.0;914.36;completed
ORD-0001096;2025-01-26;CUST_00484;+79997626978;user_484_608@example.com;SportActive;offline_pos;2;14180.23;2127.03;12053.2;5785.54;0.0;1063.61;cancelled
ORD-0001249;2025-01-26;CUST_00541;+79995596579;user_541_477@example.com;UrbanStyle;online_site;1;5849.76;292.49;5557.27;2334.05;350.0;1457.78;completed
ORD-0001781;2025-01-26;CUST_00774;+79992189067;user_774_113@example.com;UrbanStyle;online_site;3;20156.17;2015.62;18140.55;7619.03;350.0;1794.38;completed
ORD-0001918;2025-01-26;CUST_00833;+79996109570;user_833_892@example.com;SportActive;online_app;2;20083.2;0.0;20083.2;9639.94;250.0;1656.37;completed
ORD-0002867;2025-01-27;CUST_01246;;user_1246_380@example.com;UrbanStyle;online_app;4;31109.14;6221.83;24887.31;10452.67;250.0;998.68;completed
ORD-0000287;2025-01-28;CUST_00129;+79999363326;user_129_740@example.com;UrbanStyle;online_site;1;6791.17;1018.68;5772.49;2424.45;350.0;1750.94;completed
ORD-0001437;2025-01-28;CUST_00619;+79993700047;;SportActive;online_site;4;38420.3;1921.02;36499.28;17519.65;350.0;1183.69;returned
ORD-0001832;2025-01-28;CUST_00794;+79993509536;;UrbanStyle;online_app;3;22532.24;3379.84;19152.4;8044.01;250.0;1704.95;completed
ORD-0002118;2025-01-28;CUST_00920;+79992946062;;UrbanStyle;offline_pos;3;19891.27;994.56;18896.71;7936.62;0.0;911.35;completed
ORD-0002921;2025-01-28;CUST_01265;+79994361682;;SportActive;online_app;3;23520.27;3528.04;19992.23;9596.27;250.0;1301.92;completed
ORD-0000019;2025-01-29;CUST_00012;+79996292423;;UrbanStyle;online_site;4;30043.6;4506.54;25537.06;10725.57;350.0;1398.74;completed
ORD-0000627;2025-01-29;CUST_00270;+79996102363;user_270_268@example.com;UrbanStyle;offline_pos;2;13939.8;1393.98;12545.82;5269.24;0.0;1274.02;completed
ORD-0000144;2025-01-30;CUST_00064;+79994305700;user_64_472@example.com;UrbanStyle;online_site;1;7680.21;1152.03;6528.18;2741.84;350.0;0.0;completed
ORD-0000593;2025-01-30;CUST_00255;;user_255_472@example.com;UrbanStyle;online_site;1;5875.24;293.76;5581.48;2344.22;350.0;1075.04;completed
ORD-0001286;2025-01-30;CUST_00553;+79997779646;user_553_776@example.com;SportActive;online_app;4;34583.61;0.0;34583.61;16600.13;250.0;1121.32;completed
ORD-0001054;2025-01-31;CUST_00470;+79995694689;;UrbanStyle;online_app;4;24711.28;4942.26;19769.02;8302.99;250.0;1303.04;completed
ORD-0002407;2025-01-31;CUST_01040;+79991726143;;UrbanStyle;offline_pos;3;18018.46;1801.85;16216.61;6810.98;0.0;1757.2;completed
ORD-0002795;2025-01-31;CUST_01218;;user_1218_830@example.com;UrbanStyle;online_site;3;19610.51;0.0;19610.51;8236.41;350.0;1704.35;completed
ORD-0003246;2025-01-31;CUST_01399;+79994533501;user_1399_968@example.com;SportActive;online_app;2;19269.69;2890.45;16379.24;7862.04;250.0;1573.76;completed
ORD-0000190;2025-02-01;CUST_00081;+79991327691;;SportActive;offline_pos;3;29701.0;5940.2;23760.8;11405.18;0.0;1283.85;completed
ORD-0000487;2025-02-01;CUST_00215;+79996761929;user_215_831@example.com;UrbanStyle;online_app;2;14762.63;2214.39;12548.24;5270.26;250.0;1530.58;completed
ORD-0000748;2025-02-01;CUST_00320;;user_320_515@example.com;SportActive;online_site;4;26682.62;4002.39;22680.23;10886.51;350.0;1114.18;completed
ORD-0001195;2025-02-01;CUST_00521;+79992622400;user_521_187@example.com;SportActive;online_site;3;23482.11;2348.21;21133.9;10144.27;350.0;938.57;completed
ORD-0002057;2025-02-01;CUST_00897;+79991891328;user_897_100@example.com;SportActive;online_site;3;23437.66;1171.88;22265.78;10687.57;350.0;1687.0;completed
ORD-0000026;2025-02-02;CUST_00017;+79998852574;user_17_641@example.com;UrbanStyle;online_site;3;18592.49;3718.5;14873.99;6247.08;350.0;990.9;completed
ORD-0000550;2025-02-02;CUST_00239;;user_239_711@example.com;UrbanStyle;online_app;2;12778.1;0.0;12778.1;5366.8;250.0;1522.28;completed
ORD-0001692;2025-02-02;CUST_00735;+79991903041;user_735_126@example.com;SportActive;online_site;3;28820.73;0.0;28820.73;13833.95;350.0;1017.89;completed
ORD-0002501;2025-02-02;CUST_01084;+79995478422;;SportActive;offline_pos;4;29787.22;1489.36;28297.86;13582.97;0.0;1092.18;completed
ORD-0002874;2025-02-02;CUST_01250;+79999052500;;SportActive;online_site;1;9735.6;1460.34;8275.26;3972.12;350.0;1090.54;completed
ORD-0003283;2025-02-02;CUST_01415;+79994101936;user_1415_515@example.com;SportActive;online_app;4;38201.22;5730.18;32471.04;15586.1;250.0;1122.8;completed
ORD-0001240;2025-02-03;CUST_00539;+79993275826;user_539_899@example.com;SportActive;online_site;3;26692.01;1334.6;25357.41;12171.56;350.0;1291.11;completed
ORD-0001476;2025-02-03;CUST_00638;+79994576485;user_638_985@example.com;SportActive;offline_pos;2;19327.82;3865.56;15462.26;7421.88;0.0;1345.41;completed
ORD-0002300;2025-02-03;CUST_00993;+79992464797;user_993_182@example.com;UrbanStyle;online_app;4;20718.04;2071.8;18646.24;7831.42;250.0;1212.05;completed
ORD-0000836;2025-02-04;CUST_00359;+79999484790;;UrbanStyle;offline_pos;3;19096.92;0.0;19096.92;8020.71;0.0;999.5;completed
ORD-0001217;2025-02-04;CUST_00528;;user_528_665@example.com;SportActive;online_site;2;18327.03;0.0;18327.03;8796.97;350.0;1488.91;completed
ORD-0002134;2025-02-04;CUST_00927;+79995169748;;UrbanStyle;online_app;4;19839.05;0.0;19839.05;8332.4;250.0;922.06;completed
ORD-0002290;2025-02-04;CUST_00988;+79993322064;user_988_442@example.com;UrbanStyle;online_site;4;29127.37;0.0;29127.37;12233.5;350.0;1112.04;cancelled
ORD-0002374;2025-02-04;CUST_01024;+79999061215;user_1024_679@example.com;UrbanStyle;online_app;2;14143.62;2121.54;12022.08;5049.27;250.0;1569.37;completed
ORD-0002444;2025-02-04;CUST_01059;+79994004727;;UrbanStyle;online_app;3;23437.26;2343.73;21093.53;8859.28;250.0;1597.08;completed
ORD-0002775;2025-02-04;CUST_01206;+79996195935;user_1206_679@example.com;UrbanStyle;offline_pos;3;20870.49;3130.57;17739.92;7450.77;0.0;918.63;completed
ORD-0000097;2025-02-05;CUST_00046;+79993646552;user_46_548@example.com;SportActive;online_app;3;26943.9;2694.39;24249.51;11639.76;250.0;1560.49;completed
ORD-0000221;2025-02-05;CUST_00095;+79998047416;user_95_942@example.com;UrbanStyle;online_site;2;14837.37;1483.74;13353.63;5608.52;350.0;1367.44;completed
ORD-0001031;2025-02-05;CUST_00461;+79997425329;user_461_253@example.com;SportActive;online_site;3;26230.56;5246.11;20984.45;10072.54;350.0;0.0;completed
ORD-0002430;2025-02-05;CUST_01052;;user_1052_505@example.com;UrbanStyle;online_site;4;31369.18;4705.38;26663.8;11198.8;350.0;0.0;completed
ORD-0002922;2025-02-05;CUST_01266;+79998841710;user_1266_714@example.com;SportActive;online_app;1;8409.82;420.49;7989.33;3834.88;250.0;1796.57;completed
ORD-0001688;2025-02-06;CUST_00731;;user_731_421@example.com;UrbanStyle;online_site;4;22973.19;3445.98;19527.21;8201.43;350.0;1360.18;completed
ORD-0002281;2025-02-06;CUST_00984;+79999907365;user_984_133@example.com;UrbanStyle;offline_pos;3;20344.66;1017.23;19327.43;8117.52;0.0;968.74;completed
ORD-0000808;2025-02-07;CUST_00348;+79994640933;user_348_590@example.com;UrbanStyle;online_site;3;20170.1;3025.51;17144.59;7200.73;350.0;1450.09;completed
ORD-0001457;2025-02-07;CUST_00630;+79994690350;;UrbanStyle;offline_pos;4;20669.85;4133.97;16535.88;6945.07;0.0;1171.09;completed
ORD-0003280;2025-02-07;CUST_01412;+79994391989;;UrbanStyle;online_app;3;22945.82;1147.29;21798.53;9155.38;250.0;0.0;completed
ORD-0000260;2025-02-08;CUST_00116;+79998883823;user_116_398@example.com;UrbanStyle;offline_pos;4;31055.14;1552.76;29502.38;12391.0;0.0;1024.27;completed
ORD-0000834;2025-02-08;CUST_00358;+79991107102;;SportActive;offline_pos;4;33721.79;5058.27;28663.52;13758.49;0.0;1231.71;completed
ORD-0000855;2025-02-08;CUST_00373;+79997655572;user_373_892@example.com;UrbanStyle;online_app;4;30885.28;0.0;30885.28;12971.82;250.0;975.15;completed
ORD-0003409;2025-02-08;CUST_01478;+79996057934;user_1478_842@example.com;UrbanStyle;online_app;4;25865.47;5173.09;20692.38;8690.8;250.0;1101.36;completed
ORD-0003423;2025-02-08;CUST_01484;+79997444974;user_1484_675@example.com;SportActive;online_app;3;19373.25;968.66;18404.59;8834.2;250.0;1556.24;completed
ORD-0002301;2025-02-09;CUST_00994;;user_994_813@example.com;UrbanStyle;online_site;3;21383.88;2138.39;19245.49;8083.11;350.0;971.91;completed
ORD-0003076;2025-02-09;CUST_01323;+79995584412;;UrbanStyle;online_app;2;12214.18;1221.42;10992.76;4616.96;250.0;1575.58;completed
ORD-0000042;2025-02-10;CUST_00023;;user_23_170@example.com;SportActive;online_site;4;38502.68;7700.54;30802.14;14785.03;350.0;1092.69;completed
ORD-0001600;2025-02-10;CUST_00696;+79997721705;user_696_728@example.com;SportActive;online_site;2;16835.69;2525.35;14310.34;6868.96;350.0;1014.55;completed
ORD-0001638;2025-02-10;CUST_00713;+79991111126;;SportActive;offline_pos;1;8850.67;0.0;8850.67;4248.32;0.0;1337.28;completed
ORD-0001827;2025-02-10;CUST_00792;+79996610127;user_792_456@example.com;SportActive;online_app;2;15592.19;779.61;14812.58;7110.04;250.0;1521.09;returned
ORD-0001988;2025-02-10;CUST_00872;+79992460891;;UrbanStyle;online_site;3;20142.46;3021.37;17121.09;7190.86;350.0;0.0;completed
ORD-0002405;2025-02-10;CUST_01038;+79992874387;user_1038_179@example.com;UrbanStyle;online_site;4;25646.37;2564.64;23081.73;9694.33;350.0;903.14;completed
ORD-0000844;2025-02-11;CUST_00365;+79991531577;user_365_195@example.com;UrbanStyle;online_site;2;15009.53;2251.43;12758.1;5358.4;350.0;917.08;returned
ORD-0001184;2025-02-11;CUST_00518;+79997668395;;UrbanStyle;online_app;2;15146.23;2271.93;12874.3;5407.21;250.0;1176.64;completed
ORD-0001311;2025-02-11;CUST_00564;;user_564_420@example.com;SportActive;online_site;1;8517.18;0.0;8517.18;4088.25;350.0;1117.12;completed
ORD-0001735;2025-02-11;CUST_00753;+79991940167;user_753_372@example.com;SportActive;online_app;2;12642.75;632.14;12010.61;5765.09;250.0;982.46;completed
ORD-0002631;2025-02-11;CUST_01134;;user_1134_564@example.com;SportActive;online_site;4;30004.95;3000.5;27004.45;12962.14;350.0;1034.81;completed
ORD-0001574;2025-02-12;CUST_00687;+79997855954;user_687_363@example.com;UrbanStyle;online_site;3;14842.97;742.15;14100.82;5922.34;350.0;1568.66;completed
ORD-0001693;2025-02-12;CUST_00736;;user_736_186@example.com;SportActive;online_site;2;14744.19;2211.63;12532.56;6015.63;350.0;1315.32;completed
ORD-0002535;2025-02-12;CUST_01097;+79991917249;user_1097_807@example.com;SportActive;online_app;4;32848.66;6569.73;26278.93;12613.89;250.0;0.0;completed
ORD-0003123;2025-02-12;CUST_01351;+79993563536;;SportActive;offline_pos;1;9168.63;916.86;8251.77;3960.85;0.0;1743.62;completed
ORD-0000904;2025-02-13;CUST_00398;;user_398_245@example.com;UrbanStyle;online_app;1;6813.31;1022.0;5791.31;2432.35;250.0;1766.08;completed
ORD-0001091;2025-02-13;CUST_00482;+79992258076;user_482_122@example.com;SportActive;online_app;3;29386.12;1469.31;27916.81;13400.07;250.0;1752.44;completed
ORD-0002432;2025-02-13;CUST_01053;;user_1053_811@example.com;UrbanStyle;online_site;3;20046.65;4009.33;16037.32;6735.67;350.0;1781.72;completed
ORD-0003162;2025-02-13;CUST_01370;+79996740356;user_1370_130@example.com;UrbanStyle;online_app;4;21702.46;4340.49;17361.97;7292.03;250.0;1725.1;completed
ORD-0000861;2025-02-14;CUST_00378;+79999597330;user_378_517@example.com;UrbanStyle;online_app;4;26672.16;5334.43;21337.73;8961.85;250.0;1035.39;completed
ORD-0002253;2025-02-14;CUST_00975;+79994631304;user_975_705@example.com;UrbanStyle;online_app;3;16092.24;1609.22;14483.02;6082.87;250.0;1341.96;cancelled
ORD-0001718;2025-02-15;CUST_00742;+79995358838;user_742_259@example.com;SportActive;online_site;4;27713.23;4156.98;23556.25;11307.0;350.0;1287.0;completed
ORD-0002051;2025-02-15;CUST_00896;+79999563491;user_896_513@example.com;SportActive;online_app;4;33744.1;5061.61;28682.49;13767.6;250.0;1043.53;completed
ORD-0000484;2025-02-16;CUST_00213;+79998763013;user_213_694@example.com;UrbanStyle;online_app;3;21414.04;2141.4;19272.64;8094.51;250.0;1663.0;returned
ORD-0000770;2025-02-16;CUST_00327;+79991933413;user_327_564@example.com;UrbanStyle;online_app;1;7380.76;1476.15;5904.61;2479.94;250.0;1186.43;completed
ORD-0000860;2025-02-16;CUST_00377;;user_377_468@example.com;SportActive;online_site;1;9210.15;0.0;9210.15;4420.87;350.0;1740.73;completed
ORD-0001078;2025-02-16;CUST_00477;;user_477_320@example.com;SportActive;online_site;2;19019.07;0.0;19019.07;9129.15;350.0;1039.65;completed
ORD-0001079;2025-02-16;CUST_00478;+79997647878;user_478_625@example.com;UrbanStyle;online_site;3;18729.93;1872.99;16856.94;7079.91;350.0;1063.06;completed
