Дата транзакции;id Клиента;№ операции;Сумма;Статус;email Клиента;Дата первой продажи;Номер когорты;Количество товаров;Товар 1;Товар 2;Товар 3;Месяц
02.07.2021;1261;;3 240;completed;Emmataylor2007@yahoo.com;44379;7;3;1900.0;240.0;1100.0;7
19.02.2021;2019;;1 717;completed;Liamwilliams33@yahoo.com;44246;2;3;890.0;240.0;587.0;2
28.05.2021;2972;;4 625;completed;oliveranderson66@gmail.com;44292;4;3;3500.0;800.0;325.0;5
11.11.2021;3809;;1 125;completed;charlottemoore33@gmail.com;44250;2;2;800.0;325.0;;11
09.02.2022;1801;;5 140;completed;Williamthomas12@yahoo.com;44301;4;2;240.0;4900.0;;14
12.11.2021;3379;;5 700;completed;Isabellamoore66@yandex.ru;44512;11;2;800.0;;4900.0;11
22.01.2022;4019;;4 630;completed;williamthomas88@gmail.com;44379;7;3;240.0;890.0;3500.0;13
25.05.2021;1421;;4 065;completed;Alexandermartinez0@yahoo.com;44341;5;3;3500.0;240.0;325.0;5
28.06.2021;2606;;6 087;completed;Charlottethomas0@yahoo.com;44375;6;3;2000.0;587.0;3500.0;6
14.09.2021;2241;;325;completed;Alexandermartinez0@yandex.ru;44453;9;1;;325.0;;9
17.02.2021;2946;;7 300;completed;Oliverthomas12@mail.ru;44244;2;3;3500.0;1900.0;1900.0;2
12.02.2022;1965;;2 800;returned;Charlottejackson1987@yandex.ru;44403;7;2;2000.0;800.0;;14
11.10.2021;2801;;2 700;completed;Lucasmoore66@yandex.ru;44373;6;2;1900.0;;800.0;10
29.11.2021;3059;;3 680;returned;liamtaylor88@gmail.com;44269;3;3;1900.0;890.0;890.0;11
08.11.2021;1407;;3 980;completed;Williamjackson0@yandex.ru;44355;6;3;3500.0;240.0;240.0;11
30.12.2021;3916;;4 630;returned;Sophiamartinez12@mail.ru;44388;7;3;3500.0;890.0;240.0;12
22.12.2021;1664;;4 625;completed;Alexanderthomas12@mail.ru;44267;3;3;3500.0;325.0;800.0;12
18.05.2021;4060;;3 477;completed;Charlottewilliams88@mail.ru;44334;5;3;587.0;890.0;2000.0;5
07.06.2021;3720;;1 425;completed;isabellajackson66@gmail.com;44354;6;2;325.0;1100.0;;6
17.03.2021;3368;;7 400;completed;alexandermoore1993@gmail.com;44272;3;3;1900.0;3500.0;2000.0;3
17.03.2021;3162;;9 200;completed;Liammoore1993@mail.ru;44272;3;3;4900.0;3500.0;800.0;3
05.09.2021;4160;;6 587;completed;charlottethomas13@gmail.com;44444;9;3;587.0;1100.0;4900.0;9
16.02.2021;3531;;2 812;completed;Alexanderjackson1993@outlook.com;44243;2;3;325.0;587.0;1900.0;2
13.06.2021;3978;;5 380;completed;avamoore88@gmail.com;44360;6;3;4900.0;240.0;240.0;6
21.09.2021;2771;;5 140;completed;Avalopez66@mail.ru;44460;9;2;4900.0;240.0;;9
31.07.2021;2194;;3 740;completed;Oliverlopez33@mail.ru;44289;4;2;240.0;3500.0;;7
05.09.2021;3799;;3 825;completed;Williammoore12@mail.ru;44282;3;2;;325.0;3500.0;9
12.01.2022;4027;;7 700;completed;Alexanderwilliams88@yandex.ru;44300;4;3;2000.0;4900.0;800.0;13
15.07.2021;3928;;8 400;returned;alexandersmith66@gmail.com;44392;7;2;3500.0;;4900.0;7
03.05.2021;1343;;3 325;completed;Avathomas0@yandex.ru;44319;5;3;1900.0;325.0;1100.0;5
09.03.2021;3761;;3 025;completed;williamwilliams1987@gmail.com;44264;3;3;1900.0;325.0;800.0;3
27.03.2021;2290;;2 140;completed;Liamtaylor1987@yahoo.com;44282;3;3;240.0;1100.0;800.0;3
05.02.2022;3375;;2 940;returned;Oliverjackson1987@yandex.ru;44597;14;3;240.0;800.0;1900.0;14
13.03.2021;3981;;4 412;completed;Emmathomas69@mail.ru;44263;3;3;3500.0;587.0;325.0;3
12.01.2022;2461;;5 187;completed;Lucaswilliams88@outlook.com;44284;3;3;1100.0;587.0;3500.0;13
21.06.2021;1562;;3 825;completed;isabellathomas33@gmail.com;44368;6;2;325.0;;3500.0;6
03.12.2021;3310;;3 287;completed;isabellalopez69@gmail.com;44533;12;3;1900.0;587.0;800.0;12
10.11.2021;1842;;6 377;completed;Liamlopez1993@outlook.com;44247;2;3;890.0;4900.0;587.0;11
24.09.2021;1411;;5 100;completed;Charlottejackson12@yandex.ru;44440;9;3;800.0;800.0;3500.0;9
05.02.2022;1660;;9 200;completed;williamlopez13@gmail.com;44389;7;3;3500.0;800.0;4900.0;14
31.08.2021;3350;;6 200;completed;Lucasmoore88@yahoo.com;44439;8;3;3500.0;1900.0;800.0;8
17.04.2021;3495;;1 665;completed;Olivertaylor66@yandex.ru;44303;4;3;325.0;1100.0;240.0;4
25.03.2021;3045;;1 840;completed;Charlotteanderson1993@mail.ru;44280;3;3;800.0;240.0;800.0;3
20.07.2021;2552;;3 890;completed;charlottemartinez12@gmail.com;44397;7;3;1900.0;890.0;1100.0;7
06.11.2021;2124;;4 625;completed;williammoore2007@gmail.com;44506;11;3;800.0;325.0;3500.0;11
23.02.2021;3392;;1 802;completed;Liamlopez0@yahoo.com;44250;2;3;325.0;587.0;890.0;2
06.08.2021;3794;;6 500;completed;Oliverthomas1993@yahoo.com;44414;8;3;800.0;800.0;4900.0;8
01.03.2021;1954;;4 600;completed;Isabellathomas0@yahoo.com;44256;3;3;800.0;1900.0;1900.0;3
06.12.2021;2659;;8 640;completed;Liamtaylor1993@yahoo.com;44401;7;3;240.0;4900.0;3500.0;12
06.05.2021;3598;;2 487;completed;Sophiamoore33@yandex.ru;44322;5;2;587.0;1900.0;;5
16.07.2021;3925;;1 130;completed;Lucaswilliams69@mail.ru;44393;7;2;240.0;;890.0;7
02.06.2021;2245;;8 800;returned;emmathomas69@gmail.com;44315;4;3;4900.0;1900.0;2000.0;6
16.04.2021;2639;;10 600;completed;Charlottetaylor1993@yahoo.com;44302;4;3;4900.0;4900.0;800.0;4
22.08.2021;3271;;7 487;returned;Sophiabrown13@mail.ru;44430;8;3;4900.0;587.0;2000.0;8
12.12.2021;1607;;4 087;completed;Emmathomas2007@outlook.com;44375;6;2;;587.0;3500.0;12
28.09.2021;3900;;890;completed;Oliverwilliams69@yandex.ru;44467;9;1;;;890.0;9
22.03.2021;2204;;2 015;returned;Lucasanderson2007@yahoo.com;44277;3;3;325.0;890.0;800.0;3
07.01.2022;1440;;4 890;completed;Isabellataylor66@mail.ru;44568;13;3;2000.0;2000.0;890.0;13
26.12.2021;4173;;1 130;completed;Lucassmith66@yandex.ru;44282;3;2;;240.0;890.0;12
23.10.2021;3870;;1 125;returned;Alexanderwilliams13@outlook.com;44492;10;2;325.0;;800.0;10
03.12.2021;4066;;10 900;completed;Isabellasmith1987@yandex.ru;44295;4;3;4900.0;1100.0;4900.0;12
07.07.2021;2351;;2 670;completed;sophiasmith66@gmail.com;44384;7;3;890.0;890.0;890.0;7
26.02.2021;2069;;2 565;completed;Alexanderlopez1987@outlook.com;44253;2;3;240.0;2000.0;325.0;2
04.05.2021;2382;;3 130;returned;Charlottetaylor13@mail.ru;44320;5;3;240.0;2000.0;890.0;5
08.02.2022;2433;;6 325;completed;Sophiasmith1993@mail.ru;44320;5;3;325.0;1100.0;4900.0;14
16.08.2021;3736;;6 600;completed;Charlottewilliams69@outlook.com;44253;2;3;2000.0;3500.0;1100.0;8
06.04.2021;3683;;1 930;completed;Williamthomas12@yahoo.com;44292;4;3;890.0;240.0;800.0;4
25.08.2021;1505;;2 140;completed;williamanderson0@gmail.com;44391;7;3;800.0;240.0;1100.0;8
31.10.2021;1617;;6 800;completed;isabellabrown66@gmail.com;44347;5;3;4900.0;1100.0;800.0;10
28.10.2021;1844;;6 600;completed;liamanderson13@gmail.com;44419;8;3;3500.0;1100.0;2000.0;10
27.11.2021;3912;;5 640;completed;williamlopez88@gmail.com;44454;9;3;240.0;1900.0;3500.0;11
30.11.2021;1591;;5 187;returned;Liammartinez1993@outlook.com;44260;3;3;1100.0;3500.0;587.0;11
19.10.2021;4027;;6 390;completed;Alexanderwilliams88@yandex.ru;44300;4;3;3500.0;2000.0;890.0;10
02.11.2021;3819;;3 890;completed;Lucasanderson1987@mail.ru;44502;11;3;890.0;1900.0;1100.0;11
20.12.2021;2262;;3 025;returned;Oliveranderson13@outlook.com;44442;9;3;1900.0;325.0;800.0;12
11.12.2021;1271;;5 987;completed;Lucassmith1993@yahoo.com;44287;4;3;587.0;3500.0;1900.0;12
24.05.2021;2844;;2 812;completed;Liamthomas33@yandex.ru;44340;5;3;587.0;325.0;1900.0;5
10.03.2021;3133;;1 712;completed;Liamthomas12@mail.ru;44265;3;3;587.0;325.0;800.0;3
20.03.2021;3126;;5 987;completed;Charlottelopez69@yandex.ru;44275;3;3;1900.0;3500.0;587.0;3
09.06.2021;4108;;7 900;completed;emmawilliams0@gmail.com;44264;3;3;1900.0;4900.0;1100.0;6
06.07.2021;3741;;2 140;completed;liamsmith88@gmail.com;44383;7;2;240.0;1900.0;;7
23.04.2021;3307;;5 550;returned;alexandermartinez1993@gmail.com;44309;4;3;325.0;4900.0;325.0;4
12.12.2021;2947;;2 480;completed;Olivermoore33@yahoo.com;44293;4;3;240.0;2000.0;240.0;12
02.03.2021;3283;;6 390;completed;Liamjackson13@outlook.com;44257;3;3;2000.0;3500.0;890.0;3
19.04.2021;3689;;6 030;completed;Olivertaylor12@yahoo.com;44305;4;3;240.0;4900.0;890.0;4
05.11.2021;3889;;3 587;completed;Isabellalopez33@mail.ru;44505;11;3;587.0;1100.0;1900.0;11
20.06.2021;2107;;4 412;completed;Sophiabrown1987@yandex.ru;44328;5;3;3500.0;587.0;325.0;6
04.04.2021;1797;;2 940;completed;Oliversmith69@mail.ru;44290;4;3;1900.0;800.0;240.0;4
08.09.2021;3235;;6 240;completed;Sophiaanderson12@outlook.com;44373;6;3;240.0;4900.0;1100.0;9
11.03.2021;2897;;6 025;completed;Oliverbrown13@mail.ru;44266;3;3;800.0;325.0;4900.0;3
06.01.2022;1562;;4 200;completed;isabellathomas33@gmail.com;44368;6;3;2000.0;1100.0;1100.0;13
23.09.2021;2634;;7 000;completed;isabellawilliams1987@gmail.com;44249;2;2;3500.0;;3500.0;9
10.11.2021;2475;;1 802;returned;Isabellamoore66@outlook.com;44268;3;3;587.0;890.0;325.0;11
09.03.2021;2372;;650;completed;charlottesmith13@gmail.com;44264;3;2;325.0;325.0;;3
14.08.2021;1572;;3 990;completed;Olivermartinez2007@mail.ru;44422;8;3;1100.0;2000.0;890.0;8
04.11.2021;3119;;5 190;completed;sophiamoore13@gmail.com;44504;11;3;3500.0;800.0;890.0;11
04.07.2021;1449;;1 370;returned;Sophiaanderson88@yahoo.com;44246;2;3;240.0;240.0;890.0;7
15.10.2021;1585;;2 230;completed;Charlottemoore2007@yahoo.com;44484;10;3;240.0;890.0;1100.0;10
28.04.2021;2284;;7 040;completed;Oliverbrown1993@gmail.com;44314;4;3;1900.0;240.0;4900.0;4
01.04.2021;2369;;7 487;completed;alexandermoore1993@gmail.com;44287;4;3;2000.0;4900.0;587.0;4
08.02.2022;1760;;5 100;completed;Williamlopez69@outlook.com;44402;7;3;800.0;3500.0;800.0;14
22.02.2021;1587;;1 280;completed;Oliverthomas33@mail.ru;44249;2;3;240.0;240.0;800.0;2
20.02.2021;3391;;3 000;returned;Isabellajackson0@outlook.com;44247;2;3;1100.0;800.0;1100.0;2
22.11.2021;3197;;6 680;completed;Olivermartinez2007@mail.ru;44243;2;3;4900.0;890.0;890.0;11
24.03.2021;1862;;2 315;completed;emmamoore13@gmail.com;44279;3;3;1100.0;890.0;325.0;3
19.10.2021;2366;;2 890;completed;Liamwilliams88@mail.ru;44330;5;2;;890.0;2000.0;10
20.01.2022;3717;;2 225;completed;Liamanderson69@outlook.com;44581;13;2;;1900.0;325.0;13
02.10.2021;2177;;3 325;completed;Liamtaylor0@yahoo.com;44471;10;3;1100.0;325.0;1900.0;10
22.04.2021;2763;;6 000;returned;alexanderanderson1987@gmail.com;44308;4;3;2000.0;2000.0;2000.0;4
26.12.2021;2717;;1 717;completed;Charlottelopez2007@yandex.ru;44386;7;3;587.0;890.0;240.0;12
08.06.2021;2224;;9 200;returned;avathomas66@gmail.com;44274;3;3;3500.0;800.0;4900.0;6
24.11.2021;1758;;6 587;returned;alexandersmith12@gmail.com;44419;8;3;4900.0;587.0;1100.0;11
22.02.2021;3699;;5 465;completed;liambrown12@gmail.com;44249;2;3;325.0;4900.0;240.0;2
17.11.2021;2187;;1 717;returned;Williammartinez12@yahoo.com;44268;3;3;587.0;890.0;240.0;11
16.04.2021;2745;;2 315;completed;Liambrown66@mail.ru;44302;4;3;1100.0;890.0;325.0;4
05.01.2022;2298;;4 900;completed;Alexanderlopez88@mail.ru;44566;13;3;1900.0;1100.0;1900.0;13
26.11.2021;3813;;2 020;completed;Isabellasmith13@yahoo.com;44526;11;3;890.0;890.0;240.0;11
16.05.2021;1993;;3 740;completed;Emmamartinez0@outlook.com;44332;5;2;3500.0;;240.0;5
20.09.2021;1594;;4 700;completed;Lucasanderson69@mail.ru;44243;2;3;1900.0;800.0;2000.0;9
24.08.2021;3810;;3 740;completed;Oliverthomas2007@yahoo.com;44432;8;2;3500.0;240.0;;8
07.04.2021;3918;;8 987;completed;Emmamartinez0@outlook.com;44245;2;3;4900.0;587.0;3500.0;4
02.07.2021;1725;;5 140;returned;Williammoore69@yandex.ru;44379;7;2;;240.0;4900.0;7
31.03.2021;4176;;2 587;completed;alexanderlopez33@gmail.com;44286;3;2;587.0;2000.0;;3
27.07.2021;2856;;6 900;returned;Charlottetaylor1987@outlook.com;44404;7;2;;4900.0;2000.0;7
26.12.2021;3017;;2 812;returned;isabellathomas1987@gmail.com;44258;3;3;325.0;1900.0;587.0;12
31.10.2021;2935;;4 387;completed;isabellasmith1987@gmail.com;44462;9;3;1900.0;1900.0;587.0;10
23.08.2021;3785;;3 377;returned;Williamsmith2007@mail.ru;44306;4;3;587.0;1900.0;890.0;8
02.04.2021;1632;;1 280;completed;Isabellathomas1987@outlook.com;44288;4;3;240.0;240.0;800.0;4
26.12.2021;1552;;1 130;completed;Liamjackson69@yandex.ru;44364;6;2;240.0;;890.0;12
29.04.2021;2245;;1 152;returned;emmathomas69@gmail.com;44315;4;3;587.0;325.0;240.0;4
24.02.2021;3923;;4 600;completed;Lucaswilliams13@yahoo.com;44251;2;3;800.0;1900.0;1900.0;2
14.04.2021;3618;;3 000;completed;Emmajackson1993@yandex.ru;44272;3;3;800.0;1100.0;1100.0;4
31.10.2021;3103;;8 700;completed;liamwilliams13@gmail.com;44308;4;3;4900.0;1900.0;1900.0;10
23.11.2021;2612;;7 387;completed;Alexandersmith66@yandex.ru;44333;5;3;587.0;4900.0;1900.0;11
21.02.2021;1699;;5 790;completed;Liammoore1987@mail.ru;44248;2;2;890.0;4900.0;;2
05.09.2021;3476;;6 600;completed;Emmamoore2007@yandex.ru;44327;5;3;3500.0;1100.0;2000.0;9
19.05.2021;2726;;650;completed;emmabrown2007@outlook.com;44256;3;2;;325.0;325.0;5
25.07.2021;2621;;2 812;completed;liamanderson1987@gmail.com;44402;7;3;325.0;587.0;1900.0;7
01.07.2021;1262;;10 690;completed;alexanderthomas33@gmail.com;44378;7;3;4900.0;4900.0;890.0;7
13.05.2021;3892;;4 925;completed;Isabellathomas69@yandex.ru;44329;5;3;3500.0;325.0;1100.0;5
19.02.2021;2123;;7 040;completed;Lucasjackson1993@yahoo.com;44246;2;3;240.0;1900.0;4900.0;2
05.08.2021;1350;;7 600;completed;Isabellamartinez69@outlook.com;44282;3;3;1900.0;4900.0;800.0;8
12.04.2021;1570;;3 377;completed;Isabellalopez2007@yahoo.com;44298;4;3;890.0;587.0;1900.0;4
17.11.2021;4038;;6 390;returned;williamtaylor66@gmail.com;44494;10;3;2000.0;3500.0;890.0;11
18.11.2021;1408;;4 540;completed;Isabellamoore2007@outlook.com;44407;7;3;800.0;3500.0;240.0;11
10.01.2022;1280;;1 750;completed;Sophiamoore13@yandex.ru;44341;5;3;325.0;1100.0;325.0;13
26.06.2021;3410;;7 790;completed;Charlottelopez1987@yandex.ru;44320;5;3;4900.0;890.0;2000.0;6
17.03.2021;3054;;2 315;completed;Sophiajackson2007@mail.ru;44247;2;3;325.0;890.0;1100.0;3
29.11.2021;2481;;5 487;completed;alexanderwilliams1987@gmail.com;44529;11;2;4900.0;587.0;;11
11.02.2022;2064;;4 715;completed;Sophiasmith66@yahoo.com;44286;3;3;325.0;3500.0;890.0;14
28.01.2022;4148;;3 040;returned;Alexanderlopez69@yandex.ru;44589;13;3;2000.0;800.0;240.0;13
22.12.2021;2597;;1 174;completed;Sophiajackson69@yandex.ru;44382;7;2;587.0;;587.0;12
31.05.2021;1761;;7 600;completed;Charlottetaylor1987@yandex.ru;44347;5;3;1900.0;800.0;4900.0;5
26.11.2021;2635;;6 587;completed;Williamanderson69@outlook.com;44526;11;3;587.0;4900.0;1100.0;11
15.10.2021;1418;;3 030;completed;Isabellasmith33@yahoo.com;44472;10;3;240.0;890.0;1900.0;10
14.08.2021;2939;;5 740;completed;Oliverbrown2007@mail.ru;44422;8;3;2000.0;240.0;3500.0;8
13.03.2021;2475;;6 500;completed;Isabellamoore66@outlook.com;44268;3;3;3500.0;1100.0;1900.0;3
08.09.2021;2103;;4 390;completed;Lucasanderson69@yandex.ru;44308;4;2;;3500.0;890.0;9
01.08.2021;1771;;9 200;completed;Emmawilliams2007@yandex.ru;44289;4;3;4900.0;800.0;3500.0;8
