Дата транзакции;id Клиента;№ операции;Сумма;Статус;email Клиента;Дата первой продажи;Номер когорты;Количество товаров;Товар 1;Товар 2;Товар 3;Товар 3.1;Месяц;Товар 1.1;Товар 2.1;Товар 3.2;Доставка;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34;Unnamed: 35;Unnamed: 36;Unnamed: 37;Unnamed: 38;Unnamed: 39;Unnamed: 40;Unnamed: 41;Unnamed: 42;Unnamed: 43;Unnamed: 44;Unnamed: 45;Unnamed: 46;Продукт 1;Продукт 2;Продукт 3;Продукт 4;Продукт 5;Продукт 6;Продукт 7;Продукт 8;Продукт 9;Продукт 10;Продукт 11;Продукт 12;Продукт 13;Продукт 14;Продукт 15;Продукт 16;Продукт 17
16.11.2021;3570;;2 111;completed;Sophialopez0@outlook.com;29.04.2021;4;3;587.0;587.0;587.0;;11;Фиточай с чабрецом - 4 пакетика;Фиточай с чабрецом - 4 пакетика;Фиточай с чабрецом - 4 пакетика;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.09.2021;3092;;2 015;completed;sophiathomas0@gmail.com;08.09.2021;9;3;240.0;1100.0;325.0;;9;Маття-латте - 1 шт.;Маття-латте - 5 шт.;Маття-латте - 1 шт.;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.11.2021;2112;;5 837;completed;Alexandermoore1993@mail.ru;26.11.2021;11;2;;587.0;4900.0;;11;Маття-латте - 1 шт.;Фиточай с чабрецом - 4 пакетика;Омолаживающий барсучий эликсир;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.01.2022;4061;;5 465;completed;Liamwilliams12@yahoo.com;21.01.2022;13;3;240.0;325.0;4900.0;;13;Маття-латте - 1 шт.;Маття-латте - 1 шт.;Омолаживающий барсучий эликсир;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.03.2021;1410;;4 800;completed;Isabellaanderson88@mail.ru;17.03.2021;3;3;2000.0;2000.0;800.0;;3;Омолаживающий барсучий эликсир;Омолаживающий барсучий эликсир;Фиточай с чабрецом - 4 пакетика;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.09.2021;2750;;5 940;completed;Charlottetaylor69@yandex.ru;27.04.2021;4;3;800.0;4900.0;240.0;;9;Фиточай с чабрецом - 4 пакетика;Омолаживающий барсучий эликсир;Маття-латте - 1 шт.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.02.2021;2997;;1 802;completed;lucaslopez33@gmail.com;21.02.2021;2;3;587.0;890.0;325.0;;2;Фиточай с чабрецом - 4 пакетика;Фиточай с чабрецом - 4 пакетика;Маття-латте - 1 шт.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.09.2021;1514;;8 987;completed;alexanderlopez88@gmail.com;02.09.2021;9;3;4900.0;587.0;3500.0;;9;Омолаживающий барсучий эликсир;Фиточай с чабрецом - 4 пакетика;Омолаживающий барсучий эликсир;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.12.2021;1840;;3 590;completed;williambrown33@gmail.com;04.03.2021;3;3;1900.0;890.0;800.0;;12;Маття-латте - 5 шт.;Фиточай с чабрецом - 4 пакетика;Фиточай с чабрецом - 4 пакетика;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.09.2021;2362;;6 900;completed;Alexanderwilliams2007@mail.ru;12.07.2021;7;2;;4900.0;2000.0;;9;Маття-латте - 1 шт.;Омолаживающий барсучий эликсир;Омолаживающий барсучий эликсир;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.05.2021;1957;;1 802;completed;Lucasanderson88@mail.ru;24.05.2021;5;3;325.0;890.0;587.0;;5;Маття-латте - 1 шт.;Фиточай с чабрецом - 4 пакетика;Фиточай с чабрецом - 4 пакетика;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.02.2021;3174;;6 850;completed;Sophiasmith33@mail.ru;16.02.2021;2;3;1900.0;3500.0;1100.0;;2;Маття-латте - 5 шт.;Омолаживающий барсучий эликсир;Маття-латте - 5 шт.;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.08.2021;3650;;2 037;completed;Avataylor69@yahoo.com;08.07.2021;7;2;;587.0;1100.0;;8;Маття-латте - 1 шт.;Фиточай с чабрецом - 4 пакетика;Маття-латте - 5 шт.;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.04.2021;1272;;1 365;returned;Oliversmith88@yahoo.com;28.04.2021;4;3;800.0;325.0;240.0;;4;Фиточай с чабрецом - 4 пакетика;Маття-латте - 1 шт.;Маття-латте - 1 шт.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.03.2021;3590;;1 900;completed;charlottethomas12@outlook.com;14.03.2021;3;2;800.0;1100.0;;;3;Фиточай с чабрецом - 4 пакетика;Маття-латте - 5 шт.;Маття-латте - 1 шт.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.06.2021;2797;;5 487;completed;avawilliams2007@yahoo.com;01.06.2021;6;2;4900.0;587.0;;;6;Омолаживающий барсучий эликсир;Фиточай с чабрецом - 4 пакетика;Маття-латте - 1 шт.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.06.2021;3894;;2 225;completed;Avasmith1993@mail.ru;17.06.2021;6;2;325.0;1900.0;;;6;Маття-латте - 1 шт.;Маття-латте - 5 шт.;Маття-латте - 1 шт.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.02.2021;3019;;5 140;completed;Avaanderson1993@mail.ru;21.02.2021;2;3;2000.0;1900.0;890.0;;2;Омолаживающий барсучий эликсир;Маття-латте - 5 шт.;Фиточай с чабрецом - 4 пакетика;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.05.2021;1383;;6 640;completed;lucastaylor1993@gmail.com;21.02.2021;2;3;1900.0;3500.0;890.0;;5;Маття-латте - 5 шт.;Омолаживающий барсучий эликсир;Фиточай с чабрецом - 4 пакетика;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.08.2021;1236;;4 925;completed;alexanderwilliams88@gmail.com;08.08.2021;8;3;325.0;1100.0;3500.0;;8;Маття-латте - 1 шт.;Маття-латте - 5 шт.;Омолаживающий барсучий эликсир;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.05.2021;3082;;2 487;completed;Charlottebrown12@yandex.ru;02.05.2021;5;2;1900.0;587.0;;;5;Маття-латте - 5 шт.;Фиточай с чабрецом - 4 пакетика;Маття-латте - 1 шт.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.09.2021;4025;;5 537;completed;Oliverwilliams1993@mail.ru;09.09.2021;9;3;3500.0;1100.0;587.0;;9;Омолаживающий барсучий эликсир;Маття-латте - 5 шт.;Фиточай с чабрецом - 4 пакетика;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.10.2021;2599;;5 540;completed;Isabellajackson2007@mail.ru;30.08.2021;8;3;3500.0;890.0;800.0;;10;Омолаживающий барсучий эликсир;Фиточай с чабрецом - 4 пакетика;Фиточай с чабрецом - 4 пакетика;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.11.2021;1248;;6 680;completed;isabellajackson33@gmail.com;31.03.2021;3;3;890.0;4900.0;890.0;;11;Фиточай с чабрецом - 4 пакетика;Омолаживающий барсучий эликсир;Фиточай с чабрецом - 4 пакетика;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.02.2022;1576;;7 700;completed;Liamjackson69@yandex.ru;02.02.2022;14;3;800.0;2000.0;4900.0;;14;Фиточай с чабрецом - 4 пакетика;Омолаживающий барсучий эликсир;Омолаживающий барсучий эликсир;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.01.2022;2503;;4 540;completed;Isabellasmith13@mail.ru;13.01.2022;13;3;3500.0;240.0;800.0;;13;Омолаживающий барсучий эликсир;Маття-латте - 1 шт.;Фиточай с чабрецом - 4 пакетика;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.11.2021;2888;;6 162;completed;Sophiajackson2007@yahoo.com;09.05.2021;5;3;587.0;325.0;4900.0;;11;Фиточай с чабрецом - 4 пакетика;Маття-латте - 1 шт.;Омолаживающий барсучий эликсир;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.06.2021;3290;;5 850;returned;Charlottemartinez2007@gmail.com;01.06.2021;6;2;;2000.0;3500.0;;6;Маття-латте - 1 шт.;Омолаживающий барсучий эликсир;Омолаживающий барсучий эликсир;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.01.2022;3611;;5 140;completed;Alexanderanderson33@yahoo.com;07.01.2022;13;2;;240.0;4900.0;;13;Маття-латте - 1 шт.;Маття-латте - 1 шт.;Омолаживающий барсучий эликсир;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.03.2021;2703;;4 350;completed;Avalopez13@yahoo.com;27.03.2021;3;2;2000.0;;2000.0;;3;Омолаживающий барсучий эликсир;Маття-латте - 1 шт.;Омолаживающий барсучий эликсир;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.04.2021;3019;;2 140;returned;Avaanderson1993@mail.ru;21.02.2021;2;3;1100.0;800.0;240.0;;4;Маття-латте - 5 шт.;Фиточай с чабрецом - 4 пакетика;Маття-латте - 1 шт.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.03.2021;2319;;3 240;completed;Lucaswilliams33@yahoo.com;08.03.2021;3;2;2000.0;890.0;;;3;Омолаживающий барсучий эликсир;Фиточай с чабрецом - 4 пакетика;Маття-латте - 1 шт.;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.12.2021;1453;;2 840;completed;Isabellataylor1987@yandex.ru;22.05.2021;5;3;890.0;800.0;800.0;;12;Фиточай с чабрецом - 4 пакетика;Фиточай с чабрецом - 4 пакетика;Фиточай с чабрецом - 4 пакетика;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.03.2021;2094;;7 387;completed;Liammartinez33@yahoo.com;18.03.2021;3;3;1900.0;4900.0;587.0;;3;Маття-латте - 5 шт.;Омолаживающий барсучий эликсир;Фиточай с чабрецом - 4 пакетика;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.2021;4041;;4 600;completed;Olivermoore69@yahoo.com;27.11.2021;11;3;1900.0;800.0;1900.0;;11;Маття-латте - 5 шт.;Фиточай с чабрецом - 4 пакетика;Маття-латте - 5 шт.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.10.2021;1896;;1 690;completed;Sophiawilliams0@mail.ru;17.02.2021;2;2;240.0;;1100.0;;10;Маття-латте - 1 шт.;Маття-латте - 1 шт.;Маття-латте - 5 шт.;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.08.2021;1937;;8 240;completed;Lucasthomas0@outlook.com;12.08.2021;8;3;3500.0;890.0;3500.0;;8;Омолаживающий барсучий эликсир;Фиточай с чабрецом - 4 пакетика;Омолаживающий барсучий эликсир;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.05.2021;2920;;1 067;completed;liammartinez1993@gmail.com;18.02.2021;2;3;240.0;240.0;587.0;;5;Маття-латте - 1 шт.;Маття-латте - 1 шт.;Фиточай с чабрецом - 4 пакетика;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.06.2021;1385;;3 025;completed;Lucaswilliams2007@mail.ru;30.06.2021;6;3;325.0;1900.0;800.0;;6;Маття-латте - 1 шт.;Маття-латте - 5 шт.;Фиточай с чабрецом - 4 пакетика;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.2021;3943;;2 487;returned;Lucaslopez13@yandex.ru;27.11.2021;11;2;587.0;1900.0;;;11;Фиточай с чабрецом - 4 пакетика;Маття-латте - 5 шт.;Маття-латте - 1 шт.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.09.2021;2862;;2 187;completed;Lucasmartinez1987@yandex.ru;03.09.2021;9;3;587.0;800.0;800.0;;9;Фиточай с чабрецом - 4 пакетика;Фиточай с чабрецом - 4 пакетика;Фиточай с чабрецом - 4 пакетика;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.03.2021;1681;;1 927;returned;Emmataylor13@mail.ru;10.03.2021;3;3;1100.0;240.0;587.0;;3;Маття-латте - 5 шт.;Маття-латте - 1 шт.;Фиточай с чабрецом - 4 пакетика;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.02.2021;1593;;2 325;completed;Charlottelopez13@mail.ru;17.02.2021;2;2;325.0;;2000.0;;2;Маття-латте - 1 шт.;Маття-латте - 1 шт.;Омолаживающий барсучий эликсир;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.12.2021;1548;;2 365;completed;Charlottejackson2007@outlook.com;26.12.2021;12;3;325.0;890.0;800.0;;12;Маття-латте - 1 шт.;Фиточай с чабрецом - 4 пакетика;Фиточай с чабрецом - 4 пакетика;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.08.2021;3678;;1 890;returned;Lucaslopez0@outlook.com;01.08.2021;8;3;325.0;325.0;890.0;;8;Маття-латте - 1 шт.;Маття-латте - 1 шт.;Фиточай с чабрецом - 4 пакетика;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.03.2021;1644;;4 327;completed;Lucasthomas1993@outlook.com;23.03.2021;3;3;3500.0;587.0;240.0;;3;Омолаживающий барсучий эликсир;Фиточай с чабрецом - 4 пакетика;Маття-латте - 1 шт.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.09.2021;1658;;5 450;completed;liammoore0@gmail.com;20.09.2021;9;3;800.0;800.0;3500.0;;9;Фиточай с чабрецом - 4 пакетика;Фиточай с чабрецом - 4 пакетика;Омолаживающий барсучий эликсир;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.03.2021;2934;;3 425;completed;Isabellajackson12@outlook.com;17.03.2021;3;3;2000.0;1100.0;325.0;;3;Омолаживающий барсучий эликсир;Маття-латте - 5 шт.;Маття-латте - 1 шт.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.11.2021;1321;;5 575;completed;Alexanderanderson12@mail.ru;14.09.2021;9;2;;325.0;4900.0;;11;Маття-латте - 1 шт.;Маття-латте - 1 шт.;Омолаживающий барсучий эликсир;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.04.2021;1286;;4 250;completed;williamwilliams1987@gmail.com;02.04.2021;4;3;2000.0;800.0;1100.0;;4;Омолаживающий барсучий эликсир;Фиточай с чабрецом - 4 пакетика;Маття-латте - 5 шт.;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.06.2021;3411;;2 915;returned;alexanderlopez12@gmail.com;17.06.2021;6;3;2000.0;325.0;240.0;;6;Омолаживающий барсучий эликсир;Маття-латте - 1 шт.;Маття-латте - 1 шт.;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.03.2021;2392;;10 900;completed;Emmalopez13@yahoo.com;15.03.2021;3;3;4900.0;1100.0;4900.0;;3;Омолаживающий барсучий эликсир;Маття-латте - 5 шт.;Омолаживающий барсучий эликсир;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.12.2021;3159;;4 175;returned;charlottelopez66@gmail.com;30.12.2021;12;2;;3500.0;325.0;;12;Маття-латте - 1 шт.;Омолаживающий барсучий эликсир;Маття-латте - 1 шт.;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.02.2022;1810;;1000;completed;Isabellaanderson12@outlook.com;06.02.2022;14;2;325.0;325.0;;;14;Маття-латте - 1 шт.;Маття-латте - 1 шт.;Маття-латте - 1 шт.;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.10.2021;3822;;2 627;returned;Charlottelopez0@outlook.com;30.08.2021;8;3;587.0;800.0;890.0;;10;Фиточай с чабрецом - 4 пакетика;Фиточай с чабрецом - 4 пакетика;Фиточай с чабрецом - 4 пакетика;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.12.2021;2464;;6 290;completed;Lucasanderson66@mail.ru;12.12.2021;12;3;1900.0;890.0;3500.0;;12;Маття-латте - 5 шт.;Фиточай с чабрецом - 4 пакетика;Омолаживающий барсучий эликсир;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.04.2021;3645;;4 715;completed;emmasmith33@gmail.com;25.04.2021;4;3;3500.0;325.0;890.0;;4;Омолаживающий барсучий эликсир;Маття-латте - 1 шт.;Фиточай с чабрецом - 4 пакетика;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.06.2021;1363;;2 730;completed;Isabellamoore66@yandex.ru;22.06.2021;6;3;240.0;1900.0;240.0;;6;Маття-латте - 1 шт.;Маття-латте - 5 шт.;Маття-латте - 1 шт.;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.04.2021;1721;;6 675;completed;liamsmith1993@gmail.com;12.04.2021;4;3;325.0;4900.0;1100.0;;4;Маття-латте - 1 шт.;Омолаживающий барсучий эликсир;Маття-латте - 5 шт.;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.02.2021;2978;;3 775;completed;sophiamartinez88@gmail.com;24.02.2021;2;3;1100.0;2000.0;325.0;;2;Маття-латте - 5 шт.;Омолаживающий барсучий эликсир;Маття-латте - 1 шт.;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.06.2021;3599;;7 400;completed;charlottejackson66@gmail.com;20.04.2021;4;3;2000.0;3500.0;1900.0;;6;Омолаживающий барсучий эликсир;Омолаживающий барсучий эликсир;Маття-латте - 5 шт.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.07.2021;2507;;1 425;returned;charlottewilliams88@outlook.com;14.07.2021;7;2;325.0;1100.0;;;7;Маття-латте - 1 шт.;Маття-латте - 5 шт.;Маття-латте - 1 шт.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.04.2021;2103;;7 240;returned;Lucasanderson69@yandex.ru;22.04.2021;4;3;3500.0;240.0;3500.0;;4;Омолаживающий барсучий эликсир;Маття-латте - 1 шт.;Омолаживающий барсучий эликсир;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.08.2021;2719;;6 800;completed;avataylor88@gmail.com;23.04.2021;4;3;4900.0;1100.0;800.0;;8;Омолаживающий барсучий эликсир;Маття-латте - 5 шт.;Фиточай с чабрецом - 4 пакетика;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.07.2021;2804;;2 624;completed;lucasbrown0@gmail.com;26.07.2021;7;3;587.0;1100.0;587.0;;7;Фиточай с чабрецом - 4 пакетика;Маття-латте - 5 шт.;Фиточай с чабрецом - 4 пакетика;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.01.2022;3674;;5 050;completed;Lucaslopez88@yahoo.com;09.01.2022;13;3;2000.0;800.0;1900.0;;13;Омолаживающий барсучий эликсир;Фиточай с чабрецом - 4 пакетика;Маття-латте - 5 шт.;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.09.2021;2956;;9 350;returned;Williamlopez33@yandex.ru;18.09.2021;9;3;3500.0;3500.0;2000.0;;9;Омолаживающий барсучий эликсир;Омолаживающий барсучий эликсир;Омолаживающий барсучий эликсир;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.08.2021;1541;;4 327;completed;Olivertaylor88@outlook.com;28.08.2021;8;3;3500.0;587.0;240.0;;8;Омолаживающий барсучий эликсир;Фиточай с чабрецом - 4 пакетика;Маття-латте - 1 шт.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.06.2021;2129;;2 365;completed;Liamthomas69@yandex.ru;05.06.2021;6;3;890.0;325.0;800.0;;6;Фиточай с чабрецом - 4 пакетика;Маття-латте - 1 шт.;Фиточай с чабрецом - 4 пакетика;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.07.2021;2933;;1 712;completed;Isabellalopez66@mail.ru;05.07.2021;7;3;587.0;800.0;325.0;;7;Фиточай с чабрецом - 4 пакетика;Фиточай с чабрецом - 4 пакетика;Маття-латте - 1 шт.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
